datetime,quantity,price,name
2019-08-03 17:57:00,1,8.95,Chicken Tikka Jalfrezi
2019-08-03 17:57:00,1,8.95,Bhuna - Lamb
2019-08-03 17:57:00,2,3.95,Special Fried Rice
2019-08-03 17:57:00,1,2.95,Peshwari Naan
2019-08-03 17:57:00,1,5.95,Aloo Gobi
2019-08-03 17:57:00,1,8.95,Chicken Tikka Masala
2019-08-03 17:52:00,1,3.95,Meat Samosa
2019-08-03 17:52:00,1,5.95,Mixed Vegetable Curry
2019-08-03 17:52:00,1,8.95,Dupiaza - Lamb
2019-08-03 17:52:00,1,3.95,Lemon Rice
2019-08-03 17:52:00,1,8.95,Methi - Lamb
2019-08-03 17:52:00,1,2.95,Pilau Rice
2019-08-03 17:52:00,1,2.95,Garlic Naan
2019-08-03 17:52:00,1,3.95,Onion Bhajee
2019-08-03 17:52:00,1,0.8,Spicy Papadum
2019-08-03 17:18:00,1,2.6,Plain Naan
2019-08-03 17:18:00,1,2.95,Pilau Rice
2019-08-03 17:18:00,1,8.95,Chicken Tikka Masala
2019-08-03 17:18:00,1,8.95,Bhuna - Lamb
2019-08-03 17:18:00,2,0.8,Plain Papadum
2019-08-03 16:21:00,1,9.95,Lamb Biryani
2019-08-03 16:21:00,2,2.6,Plain Naan
2019-08-02 20:23:00,1,4.95,Lamb Tikka
2019-08-02 20:23:00,1,3.95,Onion Bhajee
2019-08-02 20:23:00,1,5.95,Saag Paneer
2019-08-02 20:23:00,1,8.95,Chicken Tikka Masala
2019-08-02 20:23:00,1,3.95,Keema Rice
2019-08-02 20:23:00,1,8.95,Rogon - Lamb
2019-08-02 20:23:00,1,9.95,Chicken Tikka Karahi
2019-08-02 20:23:00,1,2.95,Pilau Rice
2019-08-02 20:23:00,1,5.95,Bombay Aloo
2019-08-02 20:18:00,1,3.95,Onion Bhajee
2019-08-02 20:18:00,1,3.95,French Fries
2019-08-02 20:18:00,1,8.95,Chicken Tikka Masala
2019-08-02 20:18:00,1,8.95,Korma - Chicken
2019-08-02 20:18:00,1,2.6,Plain Naan
2019-08-02 20:18:00,1,2.95,Pilau Rice
2019-08-02 19:33:00,1,4.95,Aloo Chaat
2019-08-02 19:33:00,1,8.95,Chicken Tikka Masala
2019-08-02 19:33:00,1,2.95,Garlic Naan
2019-08-02 19:33:00,1,2.95,Pilau Rice
2019-08-02 19:33:00,1,8.95,Bhuna - Chicken
2019-08-02 19:19:00,3,0.8,Plain Papadum
2019-08-02 19:19:00,1,3.95,Lemon Rice
2019-08-02 19:19:00,1,9.95,Lamb Mysore
2019-08-02 19:19:00,1,8.95,Dhansak - Chicken
2019-08-02 19:19:00,1,1.95,Chapati
2019-08-02 19:14:00,2,9.95,Lamb Biryani
2019-08-02 19:14:00,1,2.95,Peshwari Naan
2019-08-02 18:41:00,1,3.95,Onion Bhajee
2019-08-02 18:41:00,1,5.95,Aloo Gobi
2019-08-02 18:41:00,1,9.95,Chicken Biryani
2019-08-02 18:41:00,1,7.95,Madras - Chicken
2019-08-02 18:41:00,1,8.95,Korma - Chicken
2019-08-02 18:41:00,1,9.95,Chicken Balti
2019-08-02 18:41:00,1,8.95,Chicken Tikka Chilli Masala
2019-08-02 18:41:00,1,9.95,Lal Mirch Chicken
2019-08-02 18:41:00,1,9.95,Korma - Prawn
2019-08-02 18:41:00,1,12.95,Korma - King Prawn
2019-08-02 18:41:00,1,2.95,Plain Rice
2019-08-02 18:41:00,2,3.95,Mushroom Rice
2019-08-02 18:41:00,1,2.95,Garlic Naan
2019-08-02 18:41:00,1,2.95,Keema Naan
2019-08-02 18:41:00,1,2.95,Peshwari Naan
2019-08-02 18:41:00,10,0.8,Plain Papadum
2019-08-02 18:41:00,2,0.8,Spicy Papadum
2019-08-02 18:41:00,2,0.5,Mango Chutney
2019-08-02 18:41:00,6,0.5,Onion Chutney
2019-08-02 18:41:00,4,0.5,Red Sauce
2019-08-02 18:41:00,2,0.5,Mint Sauce
2019-08-02 18:18:00,1,7.95,Vindaloo - Chicken
2019-08-02 18:18:00,1,7.95,Madras - Chicken Tikka
2019-08-02 18:18:00,2,2.95,Plain Rice
2019-08-02 18:18:00,2,2.6,Plain Naan
2019-08-02 18:18:00,1,7.95,Madras - Chicken
2019-08-02 18:18:00,4,0.8,Plain Papadum
2019-08-02 18:18:00,1,5.95,Bombay Aloo
2019-08-02 17:57:00,1,8.95,Chicken Tikka Jalfrezi
2019-08-02 17:57:00,1,2.95,Pilau Rice
2019-08-02 17:57:00,2,0.8,Plain Papadum
2019-08-02 17:57:00,1,0.8,Spicy Papadum
2019-08-02 17:57:00,1,3.95,Vindaloo Sauce
2019-08-02 17:43:00,1,3.95,Onion Bhajee
2019-08-02 17:43:00,1,0.5,Mango Chutney
2019-08-02 17:43:00,1,3.95,Meat Samosa
2019-08-02 17:43:00,1,5.95,Chicken Pakora
2019-08-02 17:43:00,1,9.95,Lamb Biryani
2019-08-02 17:43:00,1,9.95,Chicken Biryani
2019-08-02 17:43:00,1,10.95,Chicken Tikka Biryani
2019-08-02 17:43:00,1,5.95,Aloo Gobi
2019-08-02 17:26:00,1,8.95,Chicken Tikka Jalfrezi
2019-08-02 17:26:00,1,5.95,Bombay Aloo
2019-08-02 17:26:00,1,5.95,Chana Masala
2019-08-02 17:26:00,1,8.95,Dupiaza - Chicken
2019-08-02 17:26:00,1,2.95,Keema Naan
2019-08-02 17:26:00,1,2.95,Pilau Rice
2019-08-02 17:26:00,1,3.95,Mushroom Rice
2019-08-02 14:11:00,1,5.95,Muttar Paneer
2019-08-02 14:11:00,1,2.95,Garlic Naan
2019-08-02 14:11:00,1,3.95,Mushroom Rice
2019-08-02 14:11:00,1,2.6,Plain Naan
2019-08-02 11:35:00,2,8.95,Chicken Tikka (Main)
2019-08-02 11:35:00,1,11.95,Tandoori Mixed Grill
2019-08-02 11:35:00,1,8.95,Chicken Tikka Masala
2019-08-02 11:35:00,1,7.95,Curry - Chicken
2019-08-02 11:35:00,2,5.95,Bombay Aloo
2019-08-02 11:35:00,1,5.95,Muttar Paneer
2019-08-02 11:35:00,4,2.6,Plain Naan
2019-08-02 11:35:00,4,2.95,Pilau Rice
2019-08-02 11:35:00,1,3.95,Keema Rice
2019-08-02 11:35:00,1,4.95,Aloo Chaat
2019-08-02 11:35:00,1,9.95,Chicken Balti
2019-08-02 11:35:00,1,9.95,Chicken Shashlick
2019-08-02 11:35:00,1,9.95,Vegetable Balti
2019-08-02 11:35:00,1,5.95,Cauliflower Bhajee
2019-08-02 11:35:00,1,7.95,Vindaloo - Chicken
2019-08-01 20:42:00,1,9.95,Butter Chicken
2019-08-01 20:42:00,1,10.95,Prawn Balti
2019-08-01 19:51:00,1,8.95,Tandoori Chicken Masala
2019-08-01 19:51:00,1,7.95,Curry - Chicken
2019-08-01 19:51:00,1,5.95,Aloo Gobi
2019-08-01 19:51:00,1,2.6,Plain Naan
2019-08-01 19:51:00,1,2.95,Pilau Rice
2019-08-01 19:51:00,1,0.8,Plain Papadum
2019-08-01 19:51:00,1,0.5,Red Sauce
2019-08-01 19:51:00,1,0.5,Mango Chutney
2019-08-01 19:51:00,1,5.95,Mixed Starter
2019-08-01 19:16:00,1,7.95,Madras - Lamb
2019-08-01 19:16:00,1,3.95,Mushroom Rice
2019-08-01 19:16:00,1,3.95,French Fries
2019-08-01 19:16:00,2,8.95,Korma - Chicken
2019-08-01 19:16:00,1,2.6,Plain Naan
2019-08-01 19:16:00,1,2.95,Garlic Naan
2019-08-01 18:45:00,4,0.8,Plain Papadum
